Vertex Idx	Current Accumulated Length (km)
6	 	0
5	 	0.576050
8	 	1.578410
298	 	2.027600
299	 	4.940060
300	 	8.250300
301	 	11.145930
302	 	11.861390
303	 	13.718140
304	 	14.060430
305	 	15.540910
306	 	16.587650
307	 	18.292910
308	 	19.955500
309	 	21.726180
310	 	26.928510
311	 	27.670420
312	 	28.534290
313	 	29.525260
314	 	30.431610
315	 	32.015440
627	 	32.370030
628	 	33.467660
629	 	34.391270
630	 	36.349320
631	 	39.199550
632	 	41.544250
633	 	44.507130
634	 	45.918750
635	 	45.985790
636	 	47.851780
637	 	48.479030
638	 	49.487990
639	 	50.683620
640	 	52.320030
641	 	57.179380
642	 	59.546710
592	 	59.872270
1083	 	62.125740
1084	 	63.715730
1085	 	64.569100
1086	 	66.697290
1087	 	68.427710
1088	 	69.304480
1089	 	72.675300
1090	 	73.503280
1091	 	73.852340
1092	 	74.791290
1093	 	76.240810
1094	 	79.597550
1095	 	80.726440
1096	 	81.411310
1097	 	81.985430
1098	 	83.909780
1099	 	85.003720
1100	 	85.754620
1101	 	86.325450
1102	 	87.189590
1103	 	87.765890
1104	 	87.828000
1105	 	90.831490
1106	 	94.763130
1107	 	96.940080
1108	 	100.028920
1164	 	101.837030
1165	 	105.863000
1166	 	107.066130
1167	 	108.788970
1567	 	110.437300
1568	 	113.704350
1569	 	115.284780
1570	 	116.265150
1571	 	117.504150
1572	 	118.675620
1573	 	121.423670
1574	 	122.748810
1575	 	124.606980
1576	 	126.718790
1577	 	128.011590
1578	 	130.468810
1579	 	133.067330
1580	 	136.719260
1581	 	137.266390
1582	 	138.670920
1583	 	143.221260
1584	 	144.129940
1585	 	145.309040
1586	 	147.775810
1587	 	149.444220
1588	 	150.696140
1552	 	153.971030
1897	 	158.817320
1898	 	161.876180
1899	 	164.265940
1900	 	167.897280
1901	 	169.736630
1902	 	171.975530
1903	 	176.556140
1904	 	178.765890
1905	 	180.945390
1906	 	181.905880
1907	 	183.417310
1908	 	184.087800
1909	 	185.394920
1910	 	187.532950
1911	 	189.000230
1912	 	190.305970
1979	 	191.943460
1980	 	192.386770
1981	 	192.673780
1982	 	194.743160
1983	 	195.324080
1984	 	195.665280
1985	 	199.292940
1986	 	201.447700
1987	 	203.083050
1988	 	204.264120
1989	 	205.243430
1990	 	211.784930
1991	 	212.972650
